Crag,Area,Route Name,Grade,Length
Battleship Back Cliff,Left,Pol Pot Had the Lot,6b,28
Battleship Back Cliff,Left,Sex Cauldron,7b,28
Battleship Back Cliff,Left,Even Better than the Beatles,7b,28
Battleship Back Cliff,Left,Arc of a Fridge,7b,28
Battleship Back Cliff,Left,Dreams Burn Down,7a+,28
Battleship Back Cliff,Left,Nihil,7b,28
Battleship Back Cliff,Left,No Man Is an Island,6c,28
Battleship Back Cliff,Left,Always Have the Edge,6c,28
Battleship Back Cliff,Left,Pump Hitler,7a+,28
Battleship Back Cliff,Left,Buoys Will Be Buoys,6b+,28
Battleship Back Cliff,Left,Shape Shifter,7c,28
Battleship Back Cliff,Left,Jurassic Shift,7a,28
Battleship Back Cliff,Left,The Fun Factory,7b,28
Battleship Back Cliff,Left,Info Freako,7b+,28
Battleship Back Cliff,Left,Rave Mission,7b+,28
Battleship Back Cliff,Left,Trance Mission,7c,28
Battleship Back Cliff,Left,The Racing Line,7b+,28
Battleship Back Cliff,Left,Zinc Oxide Mountain,7b+,28
Battleship Back Cliff,Left,Bending the Rules,7b+,28
Battleship Back Cliff,Right,Lost Army Expedition,6c+,16
Battleship Back Cliff,Right,Scapa Flow,6c+,19
Battleship Back Cliff,Right,Koenig Class,7a+,19
Battleship Back Cliff,Right,Raise the Titanic,6b+,19
Battleship Back Cliff,Right,The Price of Silence,6a,19
Battleship Back Cliff,Right,Wave Dodging,7a,19
Battleship Back Cliff,Right,Sink the Bismarck,6c,19
Battleship Back Cliff,Right,Big Fish,7a,19
Battleship Back Cliff,Right,Wiggi Direct,6c+,19
Battleship Back Cliff,Right,Wiggi and Mopoke's Excellent New Hilti,5c,19
Battleship Back Cliff,Right,A Dream of White Porsches,5c,16
Battleship Back Cliff,Right,The Sound of One Hold Snapping,6b+,16
Battleship Back Cliff,Right,Electrically-Injected Shed Head,6b+,16
Battleship Back Cliff,Right,Splat the Cat,6c+,10
Battleship Back Cliff,Right,Shallow End of the Gene Pool,6c,8
Battleship Back Cliff,Right,High Hopes,6c,8
Battleship Back Cliff,Right,Pura Vida,5a,14
Battleship Back Cliff,Right,Wish We Were in Santorini,3b,14
Battleship Back Cliff,Right,Project 'A',7a,14
Battleship Back Cliff,Right,Searing Tunnel of Re-injury,6b,15
Battleship Back Cliff,Right,The Cones of Stress,7a+,15
